provice, city-kabupaten, city, jneoke, jnereguler
Bali,Badung,"Abiansemal, Badung",31200,35500
Bali,Badung,"Jimbaran, Badung",31200,35500
Bali,Badung,"Kuta, Badung",31200,35500
Bali,Badung,"Legian, Badung",31200,35500
Bali,Badung,"Menguwi, Badung",31200,35500
Bali,Badung,"Ngurah Rai, Badung",31200,35500
Bali,Badung,"Nusa Dua, Badung",31200,35500
Bali,Badung,"Petang, Badung",31200,35500
Bali,Badung,"Sanur, Badung",31200,35500
Bali,Bangli,"Kintamani, Bangli",30550,34500
Bali,Bangli,"Susut, Bangli",30550,34500
Bali,Bangli,"Tembuku, Bangli",30550,34500
Bali,Bangli,Bangli,30550,34500
Bali,Buleleng,"Banjar, Buleleng",40300,44500
Bali,Buleleng,"Busung Biu, Buleleng",40300,44500
Bali,Buleleng,"Gerokgak, Buleleng",40300,44500
Bali,Buleleng,"Kubutambahan, Buleleng",40300,44500
Bali,Buleleng,"Sawan, Buleleng",40300,44500
Bali,Buleleng,"Seririt, Buleleng",40300,44500
Bali,Buleleng,"Singaraja, Buleleng",40300,44500
Bali,Buleleng,"Sukasada, Buleleng",40300,44500
Bali,Buleleng,"Tejakula, Buleleng",40300,44500
Bali,Buleleng,Buleleng,40300,44500
Bali,Denpasar,Denpasar,18000,21000
Bali,Gianyar,"Blahbatuh, Gianyar",29900,34000
Bali,Gianyar,"Payangan, Gianyar",29900,34000
Bali,Gianyar,"Sukawati, Gianyar",29900,34000
Bali,Gianyar,"Tampaksiring, Gianyar",29900,34000
Bali,Gianyar,"Tegal Lalang, Gianyar",29900,34000
Bali,Gianyar,"Ubud, Gianyar",29900,34000
Bali,Gianyar,Gianyar,29900,34000
Bali,Jembrana,"Gilimanuk (desa), Jembrana",51350,55500
Bali,Jembrana,"Melaya, Jembrana",51350,55500
Bali,Jembrana,"Mendoyo, Jembrana",51350,55500
Bali,Jembrana,"Negara, Jembrana",51350,55500
Bali,Jembrana,"Pekutatan, Jembrana",51350,55500
Bali,Karangasem,"Abang, Karangasem",40950,45000
Bali,Karangasem,"Amlapura, Karangasem",40950,45000
Bali,Karangasem,"Bebandem, Karangasem",40950,45000
Bali,Karangasem,"Kubu, Karangasem",40950,45000
Bali,Karangasem,"Manggis, Karangasem",40950,45000
Bali,Karangasem,"Rendang, Karangasem",40950,45000
Bali,Karangasem,"Selat, Karangasem",40950,45000
Bali,Karangasem,"Sidemen, Karangasem",40950,45000
Bali,Karangasem,Karangasem,40950,45000
Bali,Klungkung,"Banjarangkan, Klungkung",34450,38500
Bali,Klungkung,"Dawan, Klungkung",34450,38500
Bali,Klungkung,"Nusapenida, Klungkung",34450,38500
Bali,Klungkung,Klungkung,34450,38500
Bali,Tabanan,"Baturiti, Tabanan",34450,38500
Bali,Tabanan,"Kediri, Tabanan",34450,38500
Bali,Tabanan,"Kerambitan, Tabanan",34450,38500
Bali,Tabanan,"Marga, Tabanan",34450,38500
Bali,Tabanan,"Penebel, Tabanan",34450,38500
Bali,Tabanan,"Pupuan, Tabanan",34450,38500
Bali,Tabanan,"Selemadeg Barat, Tabanan",34450,38500
Bali,Tabanan,"Selemadeg Timur, Tabanan",34450,38500
Bali,Tabanan,"Selemadeg, Tabanan",34450,38500
Bali,Tabanan,"Tabanan/ Bajera, Tabanan",34450,38500
Bangka Belitung,Pangkal Pinang,Pangkal Pinang,25000,0
Banten,Cilegon,Cilegon,13500,16500
Banten,Lebak,"Banjarsari, Lebak",23400,27500
Banten,Lebak,"Bayah, Lebak",23400,27500
Banten,Lebak,"Bojongmanik, Lebak",23400,27500
Banten,Lebak,"Cibadak, Lebak",23400,27500
Banten,Lebak,"Cibeber, Lebak",23400,27500
Banten,Lebak,"Cijaku, Lebak",23400,27500
Banten,Lebak,"Cikulur, Lebak",23400,27500
Banten,Lebak,"Cileles, Lebak",23400,27500
Banten,Lebak,"Cimarga, Lebak",23400,27500
Banten,Lebak,"Cipanas, Lebak",23400,27500
Banten,Lebak,"Curugbitung, Lebak",23400,27500
Banten,Lebak,"Gunungkencana, Lebak",23400,27500
Banten,Lebak,"Leuwidamar, Lebak",23400,27500
Banten,Lebak,"Maja, Lebak",23400,27500
Banten,Lebak,"Malingping, Lebak",23400,27500
Banten,Lebak,"Muncang, Lebak",23400,27500
Banten,Lebak,"Panggarangan, Lebak",23400,27500
Banten,Lebak,"Rangkasbitung, Lebak",23400,27500
Banten,Lebak,"Sajira, Lebak",23400,27500
Banten,Lebak,"Sobang, Lebak",23400,27500
Banten,Lebak,"Wanasalam, Lebak",23400,27500
Banten,Lebak,"Warunggunung, Lebak",23400,27500
Banten,Pandeglang,"Angsana, Pandeglang",20800,24000
Banten,Pandeglang,"Banjar, Pandeglang",20800,24000
Banten,Pandeglang,"Bojong, Pandeglang",20800,24000
Banten,Pandeglang,"Cadas Sari, Pandeglang",20800,24000
Banten,Pandeglang,"Carita, Pandeglang",20800,24000
Banten,Pandeglang,"Cibaliung, Pandeglang",20800,24000
Banten,Pandeglang,"Cibitung, Pandeglang",20800,24000
Banten,Pandeglang,"Cigeulis, Pandeglang",20800,24000
Banten,Pandeglang,"Cikedal, Pandeglang",20800,24000
Banten,Pandeglang,"Cikeusik, Pandeglang",20800,24000
Banten,Pandeglang,"Cimanggu, Pandeglang",20800,24000
Banten,Pandeglang,"Cimanuk, Pandeglang",20800,24000
Banten,Pandeglang,"Cipeucang, Pandeglang",20800,24000
Banten,Pandeglang,"Cisata, Pandeglang",20800,24000
Banten,Pandeglang,"Jiput, Pandeglang",20800,24000
Banten,Pandeglang,"Kaduhejo, Pandeglang",20800,24000
Banten,Pandeglang,"Karangtanjung, Pandeglang",20800,24000
Banten,Pandeglang,"Labuan, Pandeglang",20800,24000
Banten,Pandeglang,"Mandalawangi, Pandeglang",20800,24000
Banten,Pandeglang,"Menes, Pandeglang",20800,24000
Banten,Pandeglang,"Munjul, Pandeglang",20800,24000
